,a,b,c,d,e,f,label
count,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0,1213.0
mean,0.8180666989930501,1.05172737202897,-13.790604929049646,0.14585204988529676,82.4051714596623,-2.3483483894802806,1.0
std,1.7758498448425202,9.051107105654893,16.994559090986932,2.1861978853464796,8.085979875101986,16.039468110368816,0.0
min,-19.186434405681226,-72.41626387588428,-129.02987129526215,-13.573038535130415,18.16173934591452,-85.60250634399405,1.0
25%,0.3588947152572999,-0.4372072634191459,-18.378408712714805,-1.2952745438117972,78.27847405634286,-10.343797047636933,1.0
50%,0.9771325745902076,1.2360616674536204,-7.776767896593873,0.05594676871913208,82.65049283582591,-1.77245255901599,1.0
75%,1.7324105030168937,2.7708703366635383,-3.6094959713336987,1.5715457268888262,86.56356695913107,5.485668457994491,1.0
max,3.3928088067012823,86.469620309142,10.504456594328284,16.863834039311786,137.85363287472038,78.28013546627396,1.0
